"","mean","sd","n_eff","Rhat","Q5","Q50","Q95"
"alphaP[1]",2.0922230327823,1.15094048745648,7441,0.999834979563628,0.620690001512682,1.87607002995935,4.29963239116698
"alphaP[2]",2.17437212515836,1.20183247204555,8178,1.00155231025232,0.657603056152641,1.93965017573276,4.40851457965324
"betaP[1]",1.0946862699721,0.656995132362617,7785,1.00001902318417,0.260475495075598,0.981563229013778,2.34362014236451
"betaP[2]",0.99235582035481,0.599774297724094,8393,1.0014882281423,0.245568011545026,0.874319028835774,2.151840459001
"muP[1,1]",-0.699748384925372,1.24389329649648,6147,1.00127279867162,-2.6851969466641,-0.708515647865365,1.30023137529229
"muP[2,1]",1.80059436718488,0.965921468491029,5516,1.0002330937776,0.545398402063854,1.63017249353268,3.6295275234311
"muP[1,2]",3.47155241061237,0.822902479614752,4333,1.00119501931606,2.13515816581011,3.47245310430512,4.75964979669245
"muP[2,2]",2.01381522323313,1.11116328217136,5668,1.0000136223563,0.60307939291633,1.80321668772085,4.14615915167481
"muP[1,3]",4.64058130308614,1.01046537570818,5553,1.00077691381122,3.00646354135054,4.63659313735183,6.24515072231716
"muP[2,3]",2.25026787196611,1.25572729086764,4956,1.0006007248181,0.663308760464149,2.0175620730071,4.60589994199463
"sigmaP[1,1]",2.01364123709714,0.821624727989911,6005,1.00041906873993,1.05885382227769,1.83118911118655,3.60621473064737
"sigmaP[2,1]",0.76106923753384,0.462463712131743,6508,1.00075025991359,0.180556682371128,0.673404265876974,1.64549678568726
"sigmaP[1,2]",1.25480248644956,0.643465415547399,4295,1.00002746126937,0.573008061862778,1.08816471747757,2.47254821669635
"sigmaP[2,2]",1.21983675184918,0.729567985824141,6312,1.00011673742949,0.293061280949784,1.08513654540201,2.60612893277169
"sigmaP[1,3]",1.64460944978675,0.723257211826058,6031,1.00010927413054,0.827713261243335,1.47273797902257,3.06826368564515
"sigmaP[2,3]",0.854372365410323,0.522456017893708,5551,1.00081241457744,0.204820191098905,0.759429465405433,1.84479049497036
"alpha[1]",1.88545173070846,0.179757992639383,6798,1.00048812433493,1.60347281772326,1.88117285102319,2.18602360271104
"alpha[2]",1.89700912169061,0.167660943371623,7288,0.999964186179235,1.63078513442476,1.89284101734357,2.18112344250663
"alpha[3]",1.85675100210496,0.167397073571039,7161,0.999876898040949,1.59089107465175,1.853540352842,2.13968937912353
"beta[1]",2.36141999288526,0.259364354798879,6993,1.00048472048952,1.94676633282302,2.35439864162244,2.80174237737188
"beta[2]",2.23787034715108,0.226938054884143,6973,0.999981196502964,1.87372056059288,2.23248116504396,2.62414720477047
"beta[3]",2.02652592353848,0.21007789396325,7032,0.99996847099535,1.6837464384881,2.02115283962268,2.3848625935855
"mu[1,1]",-2.59215566930241,0.250428950534677,13122,1.00077140066325,-3.00645179569749,-2.59296064900359,-2.1740586167491
"mu[2,1]",-0.958571295558966,0.20654477033734,12688,1.00166086920139,-1.29984294399813,-0.95800106563438,-0.621904075787097
"mu[3,1]",1.42808627320151,0.0749837426795031,12924,1.00006083104158,1.30441758300954,1.42827037835552,1.55060697428479
"mu[1,2]",2.82520663424629,0.116209740697515,13891,1.00016216833385,2.63544847167076,2.82331023713085,3.01725643482642
"mu[2,2]",3.00290153644275,0.12233000699424,13230,1.00049164713766,2.80471121036033,3.00220019738567,3.20487282357624
"mu[3,2]",4.61952019154265,0.104011822075784,12337,1.00008998020771,4.44461325572364,4.61978322235382,4.79293888697474
"mu[1,3]",3.13473321265212,0.237931095728755,11408,1.00053829533084,2.74395264277478,3.13232865605874,3.52357505777098
"mu[2,3]",4.6353064567714,0.186422081552761,12872,1.00092105420808,4.32923051703881,4.63395249840279,4.9460562826849
"mu[3,3]",6.14527471844599,0.154306017441435,12812,0.999848972128844,5.89233065150308,6.14414095441732,6.39595087811511
"sigma[1,1]",3.40173309500273,0.181497319583563,14294,1.00039618172792,3.11874837865227,3.3931487659494,3.70912287222345
"sigma[2,1]",2.980666737524,0.146271167334932,13439,1.00015261244865,2.74771563644388,2.9732330630807,3.23089942474843
"sigma[3,1]",1.0543759468945,0.0542213209375495,12586,1.00067081394866,0.969215625093903,1.05183006720582,1.14651491452853
"sigma[1,2]",1.59710309987978,0.0875593490769409,13435,1.00087462571921,1.46090835406283,1.5920718891492,1.74716104664054
"sigma[2,2]",1.74351206378426,0.0858088256194338,14882,1.00010518351011,1.60967537438256,1.73926487875944,1.88927278320564
"sigma[3,2]",1.43683232898961,0.0727658962885416,12296,1.00091722178629,1.32342835493995,1.43399459599445,1.55987002398876
"sigma[1,3]",3.19481167020379,0.1646623292503,12324,1.00077573915734,2.93610976050855,3.18916846860774,3.47866541510016
"sigma[2,3]",2.75066954232573,0.133244376824902,14092,1.00033975932688,2.54371717270552,2.74434319693384,2.97791965693869
"sigma[3,3]",2.14393878946746,0.108242127526256,11694,1.00211245240539,1.97464725827156,2.13921187010632,2.33045490324031
